,County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,geometry,index_right,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,NAMELSAD,STUSPS,NAMELSADCO,STATE_NAME,LSAD,ALAND,AWATER
0,ONONDAGA,760190,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #30401,2711,S SALINA ST,,,SYRACUSE,NY,13205,0,POINT (406909.6915583047 4763797.704726768),1690,36,067,005400,1400000US36067005400,36067005400,54,Census Tract 54,NY,Onondaga County,New York,CT,747726,0
1,QUEENS,759990,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19222,71-24,MYRTLE AVE,,,GLENDALE,NY,11385,0,POINT (594678.89501714 4506282.35625721),2993,36,081,062900,1400000US36081062900,36081062900,629,Census Tract 629,NY,Queens County,New York,CT,183530,0
2,JEFFERSON,759988,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #30022,29,N BROAD ST,,,CARTHAGE,NY,13619,0,POINT (449684.0594371145 4868902.719423912),3494,36,045,061000,1400000US36045061000,36045061000,610,Census Tract 610,NY,Jefferson County,New York,CT,57271125,1591440
3,SUFFOLK,759935,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #30610,200,MIDDLE COUNTRY RD,,,MIDDLE ISLAND,NY,11953,0,POINT (671365.2068415096 4527127.070415801),831,36,103,158705,1400000US36103158705,36103158705,1587.05,Census Tract 1587.05,NY,Suffolk County,New York,CT,4413705,35802
4,LEWIS,759933,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #30025,6163,SOLOMAN RD,,,GLENFIELD,NY,13343,0,POINT (466980.6173113484 4840856.672843817),4354,36,049,950500,1400000US36049950500,36049950500,9505,Census Tract 9505,NY,Lewis County,New York,CT,269609155,928898
5,MONROE,759932,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #30675,3750,MT READ BLVD,,,ROCHESTER,NY,14616,0,POINT (284117.2438929764 4789483.455082955),3858,36,055,013901,1400000US36055013901,36055013901,139.01,Census Tract 139.01,NY,Monroe County,New York,CT,2258111,0
6,ONONDAGA,758863,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #25200,3905,NEW COURT AVE,,,SYRACUSE,NY,13206,0,POINT (409328.0757069653 4770402.17313665),4785,36,067,014400,1400000US36067014400,36067014400,144,Census Tract 144,NY,Onondaga County,New York,CT,16966984,0
7,ESSEX,758857,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #25167,3192,PLANK RD,,,MORIAH,NY,12960,10000,POINT (618918.5979090664 4882583.334697604),3796,36,031,961002,1400000US36031961002,36031961002,9610.02,Census Tract 9610.02,NY,Essex County,New York,CT,58858955,15910765
8,COLUMBIA,758587,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #25025,1475,ROUTE 20,,,NEW LEBANON,NY,12125,0,POINT (625635.6380155153 4704817.868680665),181,36,021,000100,1400000US36021000100,36021000100,1,Census Tract 1,NY,Columbia County,New York,CT,92797021,301438
9,GENESEE,758545,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #25187,6329,ROUTE 262,,,BYRON,NY,14422,0,POINT (250609.7958424664 4774224.586948497),1835,36,037,950100,1400000US36037950100,36037950100,9501,Census Tract 9501,NY,Genesee County,New York,CT,154806278,295701
10,ONONDAGA,758544,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #30177,101,LAWRENCE RD E,,,SYRACUSE,NY,13212,0,POINT (406872.1619954957 4774266.422987831),271,36,067,013800,1400000US36067013800,36067013800,138,Census Tract 138,NY,Onondaga County,New York,CT,2631520,0
11,BROOME,758330,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #24536,6946,STATE RT 17C,,,ENDICOTT,NY,13760,0,POINT (405270.7949446544 4659040.89328672),2252,36,107,020300,1400000US36107020300,36107020300,203,Census Tract 203,NY,Tioga County,New York,CT,130645770,1255418
12,ALLEGANY,758294,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #24752,4,MAIL ST,,,CANASERAGA,NY,14822,0,POINT (271725.5436920177 4704903.317507865),5254,36,003,950100,1400000US36003950100,36003950100,9501,Census Tract 9501,NY,Allegany County,New York,CT,328795140,1467755
13,CHEMUNG,758293,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #24584,165,DANIEL ZENKER DR,,,BIG FLATS,NY,14814,0,POINT (340106.7363155287 4667681.602610892),1372,36,015,010301,1400000US36015010301,36015010301,103.01,Census Tract 103.01,NY,Chemung County,New York,CT,49397282,86881
14,CHAUTAUQUA,757921,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #24271,4041,ROUTE 60,,,GERRY,NY,14740,10658,POINT (148513.2857412258 4678014.518011914),3549,36,013,036901,1400000US36013036901,36013036901,369.01,Census Tract 369.01,NY,Chautauqua County,New York,CT,169162630,325714
15,BROOME,757920,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #9335,185,MAIN ST,,,JOHNSON CITY,NY,13790,0,POINT (421219.7113018997 4662942.211175436),779,36,007,013900,1400000US36007013900,36007013900,139,Census Tract 139,NY,Broome County,New York,CT,1007215,0
16,ERIE,757896,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #23550,1853,LOVE RD,,,GRAND ISLAND,NY,14072,6000,POINT (177212.5397168528 4768000.588805951),4887,36,029,007305,1400000US36029007305,36029007305,73.05,Census Tract 73.05,NY,Erie County,New York,CT,27275965,3103205
17,GENESEE,757481,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #24659,1658,BROADWAY RD,,,DARIEN CENTER,NY,14040,8500,POINT (225008.1907164715 4755362.9213574),4870,36,037,951400,1400000US36037951400,36037951400,9514,Census Tract 9514,NY,Genesee County,New York,CT,214550652,816869
18,SCHENECTADY,757293,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #24494,6250,DUANESBURG RD,,,DUANESBURG,NY,12056,0,POINT (571829.8086376563 4734949.381860031),3375,36,093,033102,1400000US36093033102,36093033102,331.02,Census Tract 331.02,NY,Schenectady County,New York,CT,183329990,3232878
19,NIAGARA,757292,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #24374,3929,RIDGE RD,,,LOCKPORT,NY,14094,6000,POINT (189065.5971695365 4790402.589491796),5099,36,063,024303,1400000US36063024303,36063024303,243.03,Census Tract 243.03,NY,Niagara County,New York,CT,102847866,0
20,ERIE,755862,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21443,10344,MAIN ST,,,CLARENCE,NY,14031,7820,POINT (206280.2583496515 4764899.978642032),1609,36,029,014704,1400000US36029014704,36029014704,147.04,Census Tract 147.04,NY,Erie County,New York,CT,14135185,167857
21,MADISON,755861,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #23829,1414,ROUTE 5 W,,,CHITTENANGO,NY,13037,0,POINT (426798.3789697238 4766533.73615684),3460,36,053,030402,1400000US36053030402,36053030402,304.02,Census Tract 304.02,NY,Madison County,New York,CT,77836104,209266
22,SENECA,755860,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #24131,8530,NY-414,,,LODI,NY,14860,0,POINT (350477.3266066915 4719617.061155384),1769,36,099,950900,1400000US36099950900,36099950900,9509,Census Tract 9509,NY,Seneca County,New York,CT,168491180,34870761
23,WAYNE,755859,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #24328,7,ROUTE 31,,,LYONS,NY,14489,0,POINT (337264.875281232 4769500.899534121),4886,36,117,021400,1400000US36117021400,36117021400,214,Census Tract 214,NY,Wayne County,New York,CT,11139507,199067
24,CHEMUNG,755582,Store,A,DOLGEN NEW YORK INC,DOLLAR GENERAL #25090,424,S MAIN ST,,,ELMIRA,NY,14904,4000,POINT (350794.2475308776 4660024.355660401),413,36,015,001000,1400000US36015001000,36015001000,10,Census Tract 10,NY,Chemung County,New York,CT,1251867,160538
25,SCHUYLER,754830,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #24002,6339,STATE RT 13,,,CAYUTA,NY,14824,0,POINT (360258.0832669543 4683909.658308563),4884,36,097,950500,1400000US36097950500,36097950500,9505,Census Tract 9505,NY,Schuyler County,New York,CT,184505223,1579047
26,NIAGARA,754829,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22399,2300,NIAGARA FALLS BLVD,,,NIAGARA FALLS,NY,14304,9000,POINT (180678.0316402329 4779180.128893746),1513,36,063,022714,1400000US36063022714,36063022714,227.14,Census Tract 227.14,NY,Niagara County,New York,CT,12226917,1736902
27,ERIE,754805,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #23338,650,TWO ROD RD,,,MARILLA,NY,14102,10642,POINT (209406.3458257134 4750976.180634048),2689,36,029,015001,1400000US36029015001,36029015001,150.01,Census Tract 150.01,NY,Erie County,New York,CT,71238508,97287
28,WARREN,754704,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21795,3254,STATE RTE 28,,,NORTH CREEK,NY,12853,9360,POINT (582403.7255044405 4837248.550409987),4436,36,113,074000,1400000US36113074000,36113074000,740,Census Tract 740,NY,Warren County,New York,CT,528951203,6506568
29,ERIE,754703,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #23945,5807,BROADWAY ST,,,LANCASTER,NY,14086,9100,POINT (202414.0235521488 4755584.700787353),4664,36,029,014204,1400000US36029014204,36029014204,142.04,Census Tract 142.04,NY,Erie County,New York,CT,23661835,93069
30,JEFFERSON,754448,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #23538,12301,STATE RT 193,,,ELLISBURG,NY,13636,10000,POINT (409300.8444250803 4843318.010577275),4146,36,045,062500,1400000US36045062500,36045062500,625,Census Tract 625,NY,Jefferson County,New York,CT,342061371,4669240
31,ESSEX,754447,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #24203,3954,NYS RT 22,,,WILLSBORO,NY,12996,9160,POINT (627478.0624877923 4914444.810263705),3368,36,031,960800,1400000US36031960800,36031960800,9608,Census Tract 9608,NY,Essex County,New York,CT,110623845,79439873
