County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference
ONONDAGA,760190,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #30401,2711,S SALINA ST,,,SYRACUSE,NY,13205,0,POINT (-76.142482076 43.021158703)
QUEENS,759990,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19222,71-24,MYRTLE AVE,,,GLENDALE,NY,11385,0,POINT (-73.879274126 40.70201234)
JEFFERSON,759988,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #30022,29,N BROAD ST,,,CARTHAGE,NY,13619,0,POINT (-75.627283117 43.971536604)
SUFFOLK,759935,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #30610,200,MIDDLE COUNTRY RD,,,MIDDLE ISLAND,NY,11953,0,POINT (-72.966230024 40.877298792)
LEWIS,759933,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #30025,6163,SOLOMAN RD,,,GLENFIELD,NY,13343,0,POINT (-75.40992294 43.720003726)
MONROE,759932,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #30675,3750,MT READ BLVD,,,ROCHESTER,NY,14616,0,POINT (-77.658354797 43.227259853)
ONONDAGA,758863,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #25200,3905,NEW COURT AVE,,,SYRACUSE,NY,13206,0,POINT (-76.113882855 43.080913165)
ESSEX,758857,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #25167,3192,PLANK RD,,,MORIAH,NY,12960,10000,POINT (-73.514584607 44.086774026)
COLUMBIA,758587,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #25025,1475,ROUTE 20,,,NEW LEBANON,NY,12125,0,POINT (-73.471324722 42.485524535)
GENESEE,758545,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #25187,6329,ROUTE 262,,,BYRON,NY,14422,0,POINT (-78.063553096 43.079727286)
ONONDAGA,758544,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #30177,101,LAWRENCE RD E,,,SYRACUSE,NY,13212,0,POINT (-76.144695317 43.115405912)
BROOME,758330,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #24536,6946,STATE RT 17C,,,ENDICOTT,NY,13760,0,POINT (-76.145215954 42.07772877)
ALLEGANY,758294,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #24752,4,MAIL ST,,,CANASERAGA,NY,14822,0,POINT (-77.776465117 42.462848054)
CHEMUNG,758293,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #24584,165,DANIEL ZENKER DR,,,BIG FLATS,NY,14814,0,POINT (-76.935027487 42.144945054)
CHAUTAUQUA,757921,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #24271,4041,ROUTE 60,,,GERRY,NY,14740,10658,POINT (-79.255417483 42.175323)
BROOME,757920,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #9335,185,MAIN ST,,,JOHNSON CITY,NY,13790,0,POINT (-75.952957941 42.114623227)
ERIE,757896,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #23550,1853,LOVE RD,,,GRAND ISLAND,NY,14072,6000,POINT (-78.959705445 42.996155573)
GENESEE,757481,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #24659,1658,BROADWAY RD,,,DARIEN CENTER,NY,14040,8500,POINT (-78.368256985 42.901325106)
SCHENECTADY,757293,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #24494,6250,DUANESBURG RD,,,DUANESBURG,NY,12056,0,POINT (-74.122102226 42.763709927)
NIAGARA,757292,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #24374,3929,RIDGE RD,,,LOCKPORT,NY,14094,6000,POINT (-78.827157754 43.202369574)
ERIE,755862,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21443,10344,MAIN ST,,,CLARENCE,NY,14031,7820,POINT (-78.602219121 42.980064537)
MADISON,755861,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #23829,1414,ROUTE 5 W,,,CHITTENANGO,NY,13037,0,POINT (-75.898784301 43.047969955)
SENECA,755860,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #24131,8530,NY-414,,,LODI,NY,14860,0,POINT (-76.823063914 42.614491566)
WAYNE,755859,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #24328,7,ROUTE 31,,,LYONS,NY,14489,0,POINT (-76.998487816 43.060765161)
CHEMUNG,755582,Store,A,DOLGEN NEW YORK INC,DOLLAR GENERAL #25090,424,S MAIN ST,,,ELMIRA,NY,14904,4000,POINT (-76.803795545 42.078122553)
SCHUYLER,754830,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #24002,6339,STATE RT 13,,,CAYUTA,NY,14824,0,POINT (-76.69517069 42.294889508)
NIAGARA,754829,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22399,2300,NIAGARA FALLS BLVD,,,NIAGARA FALLS,NY,14304,9000,POINT (-78.923697546 43.098053235)
ERIE,754805,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #23338,650,TWO ROD RD,,,MARILLA,NY,14102,10642,POINT (-78.556738914 42.856119574)
WARREN,754704,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21795,3254,STATE RTE 28,,,NORTH CREEK,NY,12853,9360,POINT (-73.977609087 43.683678914)
ERIE,754703,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #23945,5807,BROADWAY ST,,,LANCASTER,NY,14086,9100,POINT (-78.644594668 42.894847846)
