GEOID,pop_total,pop_white,housing_total,housing_owned,housing_rental,med_income,state,county,tract
36011040600,3400,3214,1257,1153,104,44333,36,011,040600
36011040700,3633,3553,1483,1387,96,40932,36,011,040700
36011040800,4668,3924,1528,1265,263,37585,36,011,040800
36011040900,3683,3615,1456,1270,186,38028,36,011,040900
36011041001,3088,2903,1192,996,196,30789,36,011,041001
36011041002,1650,1470,558,471,87,22083,36,011,041002
36011041101,2542,2508,1037,944,93,40625,36,011,041101
36011041102,1587,1579,588,462,126,32667,36,011,041102
36011041201,2294,2150,903,751,152,33734,36,011,041201
36011041202,2661,2579,1110,937,173,39014,36,011,041202
36011041300,3584,3180,1684,762,922,30568,36,011,041300
36011041400,4702,4259,2316,866,1450,32252,36,011,041400
36011041500,2698,2417,1201,648,553,30741,36,011,041500
36011041600,2610,2247,1036,717,319,40829,36,011,041600
36011041700,3907,3377,1920,1140,780,40377,36,011,041700
36011041800,4730,4121,1859,961,898,35233,36,011,041800
36011042100,4152,2404,1395,276,1119,21250,36,011,042100
36011990200,0,0,0,0,0,-666666666,36,011,990200
36013030100,3765,3165,1487,709,778,25084,36,013,030100
36013030200,4548,3875,1784,961,823,26713,36,013,030200
36013030300,1893,1238,854,398,456,20967,36,013,030300
36013030400,4309,3712,1922,1102,820,29753,36,013,030400
36013030500,3432,3009,1869,156,1713,20686,36,013,030500
36013030600,3533,3324,1507,717,790,28125,36,013,030600
36013030700,4124,3805,1843,1165,678,25755,36,013,030700
36013030800,3686,3475,1713,1078,635,31416,36,013,030800
36013035100,4088,3895,1719,1443,276,33510,36,013,035100
36013035300,2535,2434,1081,951,130,45234,36,013,035300
36013035400,2665,2010,1309,598,711,22182,36,013,035400
36013035500,2829,2127,1338,675,663,25605,36,013,035500
36013035600,3227,2555,1360,912,448,22358,36,013,035600
36013035700,3091,2442,1395,777,618,23938,36,013,035700
36013035800,3269,3074,1378,768,610,22941,36,013,035800
36013035901,5011,4235,2197,1528,669,44081,36,013,035901
36013035902,2221,1545,93,49,44,3939,36,013,035902
36013036000,4744,4281,1911,1484,427,31758,36,013,036000
36013036100,4554,4307,1937,1613,324,37861,36,013,036100
36013036300,4608,3970,1710,1220,490,25631,36,013,036300
36013036401,2653,2404,1055,819,236,24042,36,013,036401
36013036402,3770,3585,1460,1282,178,37344,36,013,036402
36013036500,4599,4256,2228,1591,637,31627,36,013,036500
36013036600,3140,3062,1258,1071,187,29073,36,013,036600
36013036700,4390,4256,1427,1191,236,32565,36,013,036700
36013036801,2443,2405,1000,874,126,36285,36,013,036801
36013036802,2070,2058,859,708,151,33646,36,013,036802
36047009202,3453,1023,1133,183,950,23039,36,047,009202
36047009401,2293,173,612,201,411,22411,36,047,009401
36047009402,2746,471,800,148,652,21995,36,047,009402
36047009600,5858,2122,1878,577,1301,24879,36,047,009600
36047009800,6021,923,1676,337,1339,22528,36,047,009800
36047010000,5978,1578,1734,462,1272,25176,36,047,010000
36047010100,3944,2011,1494,408,1086,46646,36,047,010100
36047010200,4844,599,1244,307,937,23442,36,047,010200
36047010401,2152,229,593,159,434,21497,36,047,010401
36047010402,2256,144,647,156,491,19621,36,047,010402
36047010601,2315,118,694,134,560,20601,36,047,010601
36047010602,1952,135,550,222,328,21705,36,047,010602
36047010801,1957,200,595,204,391,24797,36,047,010801
36047010802,2022,230,737,127,610,18021,36,047,010802
36047011000,2356,1212,631,293,338,27013,36,047,011000
36047011200,6088,3283,2106,310,1796,25785,36,047,011200
36047011400,3846,2167,906,197,709,25375,36,047,011400
36047011600,3510,343,1024,227,797,21541,36,047,011600
36047011700,2949,1404,1153,371,782,63088,36,047,011700
36047011800,1951,120,577,101,476,21672,36,047,011800
36047011901,1358,871,589,227,362,50455,36,047,011901
36047011902,0,0,0,0,0,-666666666,36,047,011902
36047012000,1327,73,352,170,182,20104,36,047,012000
36047012100,1968,1588,814,284,530,70926,36,047,012100
36047012200,5144,879,1563,283,1280,19408,36,047,012200
36047012600,2799,964,842,256,586,23611,36,047,012600
36047012700,4066,1523,1622,310,1312,59917,36,047,012700
36047012801,2279,718,798,253,545,26467,36,047,012801
36047012901,2246,1658,911,352,559,75657,36,047,012901
36047012902,2724,1616,1168,221,947,76250,36,047,012902
36047013000,4416,2660,1557,373,1184,44020,36,047,013000
36047013100,4267,2589,1976,755,1221,82445,36,047,013100
36047013200,2299,984,695,312,383,30606,36,047,013200
36047013300,4465,3428,1794,702,1092,100946,36,047,013300
36047013400,4163,2723,1385,540,845,43929,36,047,013400
36047013500,4240,3204,1497,823,674,93558,36,047,013500
36047013600,3829,2907,1403,659,744,60140,36,047,013600
36047013700,3484,2308,1526,408,1118,72054,36,047,013700
36047013800,3527,2580,1254,355,899,51714,36,047,013800
36047013900,3574,2498,1436,356,1080,76515,36,047,013900
36047014000,1944,1451,840,364,476,50000,36,047,014000
36047014101,968,660,425,171,254,66250,36,047,014101
36047014102,1863,1098,778,243,535,91382,36,047,014102
36047014200,2992,1737,1269,518,751,38553,36,047,014200
36047014300,3599,2052,1345,301,1044,54669,36,047,014300
36047014500,3909,2918,1748,331,1417,56505,36,047,014500
36051030600,4086,3932,1484,1149,335,31285,36,051,030600
36051030701,2309,2146,893,864,29,35218,36,051,030701
36051030702,5247,4971,2098,1720,378,40326,36,051,030702
36051030800,4761,4577,1803,1567,236,36488,36,051,030800
36051030900,3064,2614,1431,943,488,32762,36,051,030900
36051031000,1887,895,0,0,0,9219,36,051,031000
36051031101,2050,1932,846,790,56,32500,36,051,031101
36051031102,2319,2173,1048,957,91,39036,36,051,031102
36051031200,3919,3826,1667,1296,371,39625,36,051,031200
36051031300,4104,4028,1770,1593,177,34102,36,051,031300
36051031400,4653,4240,2271,1733,538,34279,36,051,031400
36053030101,2455,2252,1048,418,630,31959,36,053,030101
36053030102,5216,4967,2243,1367,876,33750,36,053,030102
36053030103,3247,3104,1260,1041,219,38550,36,053,030103
36053030200,3656,3328,1329,1053,276,30679,36,053,030200
36053030300,5197,4571,1901,1191,710,33601,36,053,030300
36053030401,4985,4878,1857,1268,589,44942,36,053,030401
36053030402,3037,2909,1153,1010,143,42412,36,053,030402
36053030403,4435,4044,1560,1444,116,33776,36,053,030403
36053030404,2697,2632,1041,994,47,39269,36,053,030404
36053030501,3345,3015,1047,750,297,12261,36,053,030501
36053030502,3653,3600,1476,1375,101,34821,36,053,030502
36053030601,3422,3186,1109,986,123,35454,36,053,030601
36053030602,3609,3513,1374,1254,120,37310,36,053,030602
36053030701,4788,4272,1369,1159,210,17003,36,053,030701
36053030702,1888,1807,771,666,105,40750,36,053,030702
36053030800,3716,3508,1344,1167,177,31948,36,053,030800
36053030900,3754,3015,873,498,375,5723,36,053,030900
36053031000,5636,5532,2347,2012,335,35308,36,053,031000
36053031100,2254,2228,857,712,145,32089,36,053,031100
36055000200,1496,596,761,55,706,18083,36,055,000200
36055000700,1862,596,669,261,408,18524,36,055,000700
36055001000,3683,2657,2423,230,2193,40492,36,055,001000
