,GEOID,pop_total,pop_white,housing_total,housing_owned,housing_rental,med_income,county,DG,pernonwhite,perrent
0,36011040600,3400,3214,1257,1153,104,44333,11,0,5.470588235294116,8.27366746221162
1,36011040700,3633,3553,1483,1387,96,40932,11,0,2.2020368841178084,6.473364801078896
2,36011040800,4668,3924,1528,1265,263,37585,11,1.0,15.938303341902316,17.212041884816752
3,36011040900,3683,3615,1456,1270,186,38028,11,0,1.846320934021184,12.774725274725274
4,36011041001,3088,2903,1192,996,196,30789,11,0,5.990932642487046,16.442953020134233
5,36011041002,1650,1470,558,471,87,22083,11,0,10.909090909090914,15.591397849462362
6,36011041101,2542,2508,1037,944,93,40625,11,0,1.337529504327306,8.968177434908387
7,36011041102,1587,1579,588,462,126,32667,11,0,0.504095778197855,21.42857142857143
8,36011041201,2294,2150,903,751,152,33734,11,1.0,6.277244986922403,16.8327796234773
9,36011041202,2661,2579,1110,937,173,39014,11,0,3.081548290116498,15.585585585585582
10,36011041300,3584,3180,1684,762,922,30568,11,0,11.27232142857143,54.75059382422802
11,36011041400,4702,4259,2316,866,1450,32252,11,0,9.421522756273927,62.60794473229707
12,36011041500,2698,2417,1201,648,553,30741,11,0,10.415122312824309,46.04496253122397
13,36011041600,2610,2247,1036,717,319,40829,11,0,13.908045977011497,30.79150579150579
14,36011041700,3907,3377,1920,1140,780,40377,11,0,13.565395444074735,40.625
15,36011041800,4730,4121,1859,961,898,35233,11,0,12.875264270613107,48.30554061323292
16,36011042100,4152,2404,1395,276,1119,21250,11,1.0,42.10019267822736,80.21505376344086
17,36013030100,3765,3165,1487,709,778,25084,13,1.0,15.936254980079678,52.32010759919301
18,36013030200,4548,3875,1784,961,823,26713,13,0,14.797713280562885,46.13228699551569
19,36013030300,1893,1238,854,398,456,20967,13,1.0,34.601162176439516,53.39578454332552
20,36013030400,4309,3712,1922,1102,820,29753,13,1.0,13.854722673474129,42.66389177939646
21,36013030500,3432,3009,1869,156,1713,20686,13,0,12.325174825174823,91.65329052969501
