County,GEOID,License Number,Entity Name,DBA Name,Street Number,Street Name,City,State,Zip Code,geometry,TRACTCE,LSAD,ALAND,AWATER,pop_total,pop_white,housing_total,housing_owned,housing_rental,med_income,state,county,tract,_merge
YATES,36123150501,570107,DOLGEN NEW YORK LLC,DOLLAR GENERAL 6948,252,LAKE ST PLAZA,PENN YAN,NY,14527,POINT (331252.5849996628 4724390.390540289),150501,CT,25059592,34092,2046,1808,974,607,367,34397,36,123,150501,both
YATES,36123150101,570125,DOLGEN NEW YORK LLC,DOLLAR GENERAL #10301,16,SENECA ST,DUNDEE,NY,14837,POINT (337716.3391932027 4709831.413496146),150101,CT,84315580,17735611,3898,3736,1380,1052,328,26226,36,123,150101,both
WYOMING,36121971000,749486,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22357,7862,RT 98,ARCADE,NY,14009,POINT (219703.5974965451 4713764.589516564),971000,CT,121740567,273605,4103,4012,2011,1439,572,32558,36,121,971000,both
WYOMING,36121970700,731379,DOLGEN NEW YORK LLC,DOLLAR GENERAL #17666,5720,RT 19A,CASTILE,NY,14427,POINT (248717.4699427605 4723481.104148292),970700,CT,95778110,3665729,2788,2657,1206,1038,168,29669,36,121,970700,both
WYOMING,36121970700,560080,DOLGEN NEW YORK LLC,DOLLAR GENERAL 9726,201,S MAIN ST,PERRY,NY,14530,POINT (253448.038597811 4733147.498916656),970700,CT,95778110,3665729,2788,2657,1206,1038,168,29669,36,121,970700,both
WYOMING,36121970500,708209,DOLGEN NEW YORK LLC,DOLLAR GENERAL #8085,80,SOUTH MAIN ST RT 19,WARSAW,NY,14569,POINT (243594.6558503604 4736537.432605538),970500,CT,91725785,130550,4817,4485,2215,1285,930,35714,36,121,970500,both
WYOMING,36121970400,749574,DOLGEN NEW YORK LLC,DOLLAR GENERAL 22210,3644,RT 78,STRYKERSVILLE,NY,14145,POINT (217052.023873973 4734349.814624446),970400,CT,214732557,277124,3724,3427,1515,1322,193,36935,36,121,970400,both
WYOMING,36121970400,734632,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #18900,2480,SR 20A,VARYSBURG,NY,14167,POINT (228871.8422537589 4739635.240816304),970400,CT,214732557,277124,3724,3427,1515,1322,193,36935,36,121,970400,both
WESTCHESTER,36119014100,552813,DOLGEN NEW YORK LLC,DOLLAR GENERAL #12866,807,WASHINGTON ST,PEEKSKILL,NY,10566,POINT (589872.9487289026 4570012.957475043),14100,CT,3237002,2602749,6593,3120,2919,1120,1799,40406,36,119,14100,both
WESTCHESTER,36119003300,730575,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 19009,205,E 3RD ST,MOUNT VERNON,NY,10553,POINT (598701.4493194995 4529262.717986397),3300,CT,624485,0,3023,92,1198,540,658,48077,36,119,3300,both
