,County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference
0,ONONDAGA,760190,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #30401,2711,S SALINA ST,,,SYRACUSE,NY,13205,0,POINT (-76.142482076 43.021158703)
274,ONONDAGA,758863,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #25200,3905,NEW COURT AVE,,,SYRACUSE,NY,13206,0,POINT (-76.113882855 43.080913165)
359,ONONDAGA,758544,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #30177,101,LAWRENCE RD E,,,SYRACUSE,NY,13212,0,POINT (-76.144695317 43.115405912)
559,CHAUTAUQUA,757921,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #24271,4041,ROUTE 60,,,GERRY,NY,14740,10658,POINT (-79.255417483 42.175323)
574,ERIE,757896,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #23550,1853,LOVE RD,,,GRAND ISLAND,NY,14072,6000,POINT (-78.959705445 42.996155573)
815,NIAGARA,757292,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #24374,3929,RIDGE RD,,,LOCKPORT,NY,14094,6000,POINT (-78.827157754 43.202369574)
1261,ERIE,755862,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21443,10344,MAIN ST,,,CLARENCE,NY,14031,7820,POINT (-78.602219121 42.980064537)
1641,NIAGARA,754829,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22399,2300,NIAGARA FALLS BLVD,,,NIAGARA FALLS,NY,14304,9000,POINT (-78.923697546 43.098053235)
1651,ERIE,754805,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #23338,650,TWO ROD RD,,,MARILLA,NY,14102,10642,POINT (-78.556738914 42.856119574)
1689,ERIE,754703,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #23945,5807,BROADWAY ST,,,LANCASTER,NY,14086,9100,POINT (-78.644594668 42.894847846)
3074,ERIE,751065,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22725,4030,SOUTHWESTERN BLVD,,,ORCHARD PARK,NY,14127,0,POINT (-78.799434238 42.774952954)
3077,ONEIDA,751062,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #6714,1600,MAIN ST,,,SYLVAN BEACH,NY,13157,0,POINT (-75.728008112 43.203984794)
3091,ERIE,751042,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21764,12220,WALDEN AVE,,,ALDEN,NY,14004,9160,POINT (-78.533274531 42.939099703)
3324,ERIE,750455,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 22699,8680,STATE RD,,,COLDEN,NY,14033,9400,POINT (-78.687051357 42.646966364)
3553,ONONDAGA,749812,Store,JAC,DOLGEN NEW YORK LLC,DOLLAR GENERAL #23195,301,S SALINA ST,,,SYRACUSE,NY,13202,0,POINT (-76.151937785 43.048480648)
3555,ERIE,749810,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21444,6401,OLEAN RD,,,SOUTH WALES,NY,14139,9000,POINT (-78.577850246 42.710679012)
3556,ERIE,749809,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22710,5203,SENECA ST,,,W SENECA,NY,14224,0,POINT (-78.712152978 42.834416103)
